massa_A
t,r,v
0.000000000E0,1.603744760E-3,
3.330658279E-2,2.179992620E-3,2.396843368E-2
6.661316558E-2,3.200354268E-3,2.283556344E-2
9.991974836E-2,3.701137732E-3,1.855574527E-2
1.332263312E-1,4.436410914E-3,2.041276855E-2
1.665329139E-1,5.044977718E-3,1.106652810E-2
1.998394967E-1,5.172854884E-3,2.817708308E-2
2.331460795E-1,6.913809987E-3,3.801718289E-2
2.664526623E-1,7.672070432E-3,1.171605716E-2
2.997592451E-1,7.645099634E-3,3.442784075E-2
3.330658279E-1,9.876480025E-3,2.958802409E-2
3.663724107E-1,9.484555765E-3,4.287351529E-3
3.996789935E-1,9.789603584E-3,1.651678011E-2
4.329855762E-1,1.057642117E-2,2.745283158E-2
4.662921590E-1,1.137899477E-2,1.538808602E-2
4.995987418E-1,9.700735714E-3,1.864590147E-2
5.329053246E-1,1.262091372E-2,2.548074213E-2
5.662119074E-1,1.138420086E-2,2.924655003E-2
5.995184902E-1,1.229570458E-2,3.372209891E-2
6.328250730E-1,1.363016093E-2,3.296576798E-2
6.661316558E-1,1.441563254E-2,8.819975240E-2
6.994382385E-1,1.676881615E-2,2.023111710E-1
7.327448213E-1,2.440058760E-2,1.642500671E-1
7.660514041E-1,2.756950437E-2,1.150065717E-1
7.993579869E-1,3.079078176E-2,1.201605298E-1
8.326645697E-1,3.348068154E-2,9.454998940E-2
8.659711525E-1,3.547740200E-2,7.893473602E-2
8.992777353E-1,3.746518027E-2,6.522706479E-2
9.325843181E-1,3.883025390E-2,6.389969087E-2
9.658909008E-1,4.074413601E-2,8.461788806E-2
9.991974836E-1,4.274376321E-2,6.518599255E-2
1.032504066E0,4.432665230E-2,5.789796673E-2
1.065810649E0,4.617073983E-2,6.529866729E-2
1.099117232E0,4.833770934E-2,7.216595899E-2
1.132423815E0,5.068275947E-2,1.118252195E-1
1.165730398E0,5.414699107E-2,9.886775234E-2
1.199036980E0,5.699239244E-2,9.449151559E-2
1.232343563E0,6.042023779E-2,1.006272517E-1
1.265650146E0,6.363751906E-2,9.515966358E-2
1.298956729E0,6.614903432E-2,8.746509529E-2
1.332263312E0,6.878979058E-2,1.021218039E-1
1.365569894E0,7.215804513E-2,9.100557804E-2
1.398876477E0,7.397949598E-2,1.455174391E-2
1.432183060E0,7.310914188E-2,7.173390539E-2
1.465489643E0,7.414369506E-2,6.851972495E-2
1.498796225E0,7.444043028E-2,6.877428437E-2
1.532102808E0,7.854843660E-2,1.256762688E-1
1.565409391E0,8.115561585E-2,1.618600221E-1
1.598715974E0,8.909293372E-2,1.799794807E-1
1.632022557E0,9.314448505E-2,1.208842935E-1
1.665329139E0,9.592898434E-2,1.404379522E-1
1.698635722E0,1.024991933E-1,1.661045274E-1
1.731942305E0,1.066173836E-1,1.146747998E-1
1.765248888E0,1.079254355E-1,7.156454571E-2
1.798555471E0,1.100440506E-1,1.442432479E-1
1.831862053E0,1.175241751E-1,1.973330118E-1
1.865168636E0,1.231722604E-1,1.775633341E-1
1.898475219E0,1.293514510E-1,1.458133630E-1
