massa_A
t,r,v
1.931781802E0,1.328691578E-1,1.232978752E-1
1.965088384E0,1.375593958E-1,1.590272352E-1
1.998394967E0,1.434419569E-1,1.487768410E-1
2.028370892E0,1.469731122E-1,1.619314110E-1
2.061677475E0,1.536876089E-1,1.735417273E-1
2.094984057E0,1.585328939E-1,1.467234745E-1
2.128290640E0,1.634310691E-1,1.124688622E-1
2.161597223E0,1.659847985E-1,1.354523112E-1
2.194903806E0,1.724359832E-1,1.795205043E-1
2.228210388E0,1.779375470E-1,1.230030787E-1
2.261516971E0,1.806056307E-1,1.656106883E-1
2.294823554E0,1.889471447E-1,2.096172677E-1
2.328130137E0,1.945404882E-1,1.763437046E-1
2.361436720E0,2.006939539E-1,1.778584127E-1
2.394743302E0,2.063162698E-1,1.790175352E-1
2.428049885E0,2.125993818E-1,1.682296183E-1
2.461356468E0,2.175221100E-1,1.567353552E-1
2.494663051E0,2.230243072E-1,1.651464276E-1
2.527969634E0,2.285040488E-1,1.666863010E-1
2.561276216E0,2.341192194E-1,1.690582528E-1
2.594582799E0,2.397619098E-1,1.927290225E-1
2.627889382E0,2.469245173E-1,1.920369465E-1
2.661195965E0,2.524956684E-1,2.272847705E-1
2.694502548E0,2.620631164E-1,2.385036474E-1
2.727809130E0,2.683524014E-1,1.867261625E-1
2.761115713E0,2.745007220E-1,1.721401730E-1
2.794422296E0,2.798041462E-1,1.972395448E-1
2.827728879E0,2.876013497E-1,2.230211102E-1
2.861035461E0,2.946514292E-1,2.003248547E-1
2.894342044E0,3.009394528E-1,2.038668016E-1
2.927648627E0,3.082272394E-1,2.205085106E-1
2.960955210E0,3.156059907E-1,1.989194929E-1
2.994261793E0,3.214661722E-1,2.356148517E-1
3.027568375E0,3.313008142E-1,2.978833129E-1
3.060874958E0,3.412393275E-1,2.739453933E-1
3.094181541E0,3.495241399E-1,1.980300688E-1
3.127488124E0,3.544258753E-1,1.824155765E-1
3.160794707E0,3.616366645E-1,2.056418008E-1
3.194101289E0,3.681117101E-1,2.189170009E-1
3.227407872E0,3.761445682E-1,2.443514776E-1
3.260714455E0,3.843701784E-1,2.792585422E-1
3.294021038E0,3.947328735E-1,2.665552260E-1
3.327327620E0,4.019725047E-1,2.528651134E-1
3.360634203E0,4.115389397E-1,3.459776127E-1
3.393940786E0,4.249967160E-1,3.997697373E-1
3.427247369E0,4.381665135E-1,3.709992931E-1
3.460553952E0,4.495390922E-1,3.202609154E-1
3.493860534E0,4.592494967E-1,3.196059642E-1
3.527167117E0,4.705968545E-1,2.653062656E-1
3.560473700E0,4.767788267E-1,1.011882135E-1
3.593780283E0,4.772932945E-1,
