massa_A
t,r,v
0.000000000E0,1.634714713E-3,
3.333333333E-2,1.125520718E-2,2.888088373E-1
6.666666667E-2,1.947063040E-2,2.287974317E-1
1.000000000E-1,2.618620882E-2,2.335091187E-1
1.333333333E-1,3.483921395E-2,2.682460721E-1
1.666666667E-1,4.393264089E-2,2.275761835E-1
2.000000000E-1,4.988559014E-2,2.272309757E-1
2.333333333E-1,5.907007899E-2,2.574675672E-1
2.666666667E-1,6.704323580E-2,2.485624762E-1
3.000000000E-1,7.521464332E-2,2.464301931E-1
3.333333333E-1,8.343453217E-2,1.855329183E-1
3.666666667E-1,8.751832662E-2,1.755416456E-1
4.000000000E-1,9.481697635E-2,2.285952627E-1
4.333333333E-1,1.025072903E-1,2.230281445E-1
4.666666667E-1,1.096848147E-1,2.064432120E-1
5.000000000E-1,1.162683563E-1,1.820058813E-1
5.333333333E-1,1.217972168E-1,1.851083970E-1
5.666666667E-1,1.285530386E-1,2.016012408E-1
6.000000000E-1,1.352355618E-1,1.952413439E-1
6.333333333E-1,1.415685983E-1,2.039154102E-1
6.666666667E-1,1.487949623E-1,2.068971591E-1
7.000000000E-1,1.553323089E-1,1.976923704E-1
7.333333333E-1,1.618450125E-1,1.910792008E-1
7.666666667E-1,1.679466210E-1,1.593846845E-1
8.000000000E-1,1.724701495E-1,1.470009587E-1
8.333333333E-1,1.777464946E-1,1.637260372E-1
8.666666667E-1,1.833733591E-1,1.901768424E-1
9.000000000E-1,1.898084798E-1,1.668059438E-1
9.333333333E-1,1.944714901E-1,1.524215329E-1
9.666666667E-1,1.994951636E-1,1.474184801E-1
1.000000000E0,2.042993737E-1,1.677140182E-1
1.033333333E0,2.106174195E-1,1.703212985E-1
1.066666667E0,2.155921351E-1,1.575870119E-1
1.100000000E0,2.211219301E-1,1.609357077E-1
1.133333333E0,2.263199587E-1,1.418501902E-1
1.166666667E0,2.305785636E-1,1.323495085E-1
1.200000000E0,2.351431395E-1,
1.266666667E0,2.448366206E-1,
1.300000000E0,2.493003988E-1,1.348980677E-1
1.333333333E0,2.538267086E-1,1.305671667E-1
1.366666667E0,2.580038512E-1,1.160993430E-1
1.400000000E0,2.615666564E-1,1.023456845E-1
1.433333333E0,2.648075155E-1,1.062194448E-1
1.466666667E0,2.686372734E-1,1.154670938E-1
1.500000000E0,2.725019646E-1,1.194296831E-1
1.533333333E0,2.765992416E-1,1.251298171E-1
1.566666667E0,2.808436303E-1,1.216884325E-1
1.600000000E0,2.847113252E-1,1.168350283E-1
1.633333333E0,2.885616962E-1,1.119775949E-1
1.666666667E0,2.921079947E-1,9.802625564E-2
1.700000000E0,2.950957636E-1,9.282094993E-2
1.733333333E0,2.982888919E-1,7.405087806E-2
1.766666667E0,2.999767002E-1,7.144372058E-2
1.800000000E0,3.029852236E-1,9.981057360E-2
1.833333333E0,3.066303855E-1,9.883375537E-2
1.866666667E0,3.095720881E-1,8.497132296E-2
1.900000000E0,3.122942402E-1,7.700288782E-2
1.933333333E0,3.147055135E-1,6.951263426E-2
1.966666667E0,3.169234053E-1,5.958973955E-2
2.000000000E0,3.186779153E-1,5.406088177E-2
2.033333333E0,3.205189846E-1,5.510071223E-2
2.066666667E0,3.223489244E-1,5.340192110E-2
2.100000000E0,3.240777352E-1,5.282475814E-2
2.133333333E0,3.258700999E-1,5.519917860E-2
2.166666667E0,3.277520517E-1,5.493917891E-2
2.200000000E0,3.295314812E-1,5.794857820E-2
2.233333333E0,3.316095721E-1,6.319935313E-2
2.266666667E0,3.337446165E-1,6.781191010E-2
2.300000000E0,3.361295430E-1,6.734976637E-2
2.333333333E0,3.382344520E-1,6.153939539E-2
2.366666667E0,3.402320861E-1,5.772366308E-2
2.400000000E0,3.420772401E-1,5.100516779E-2
2.433333333E0,3.436294670E-1,4.645837553E-2
2.466666667E0,3.451709257E-1,3.687839208E-2
2.500000000E0,3.460877638E-1,2.450783684E-2
2.533333333E0,3.468029500E-1,1.672113755E-2
2.566666667E0,3.472021992E-1,
