massa_A
t,r,v
0.000000000E0,1.961698852E-3,
3.333333333E-2,2.726760210E-3,7.719006753E-2
6.666666667E-2,5.314002234E-3,1.043149651E-1
1.000000000E-1,9.161911007E-3,1.309204633E-1
1.333333333E-1,1.381670024E-2,1.630135771E-1
1.666666667E-1,1.999282098E-2,1.905790272E-1
2.000000000E-1,2.651535474E-2,2.206744852E-1
2.333333333E-1,3.469552447E-2,2.675318574E-1
2.666666667E-1,4.434367512E-2,2.900682440E-1
3.000000000E-1,5.399926376E-2,2.595192962E-1
3.333333333E-1,6.163621272E-2,2.732188340E-1
3.666666667E-1,7.172371629E-2,3.489195542E-1
4.000000000E-1,8.439126389E-2,4.621011115E-1
4.333333333E-1,1.025289468E-1,4.186748376E-1
4.666666667E-1,1.123027370E-1,3.437232651E-1
5.000000000E-1,1.254357011E-1,4.384939332E-1
5.333333333E-1,1.415106548E-1,5.052874814E-1
5.666666667E-1,1.591192855E-1,5.330928015E-1
6.000000000E-1,1.770498224E-1,5.377623638E-1
6.333333333E-1,1.949673239E-1,5.630189499E-1
6.666666667E-1,2.145788991E-1,5.852764460E-1
7.000000000E-1,2.339583960E-1,6.291316413E-1
7.333333333E-1,2.565170087E-1,6.771086707E-1
7.666666667E-1,2.790871537E-1,6.998180589E-1
8.000000000E-1,3.031021964E-1,6.714621872E-1
8.333333333E-1,3.238024543E-1,7.171426438E-1
8.666666667E-1,3.509111741E-1,8.363940733E-1
9.000000000E-1,3.795066774E-1,7.720863872E-1
9.333333333E-1,4.023825715E-1,8.225511183E-1
9.666666667E-1,4.342089228E-1,9.158024526E-1
1.000000000E0,4.634281381E-1,
